,1stFlrSF,2ndFlrSF,BedroomAbvGr,BsmtFinSF1,BsmtUnfSF,EnclosedPorch,GarageArea,GarageYrBlt,GrLivArea,LotArea,LotFrontage,MasVnrArea,OpenPorchSF,OverallCond,OverallQual,TotalBsmtSF,WoodDeckSF,YearBuilt,YearRemodAdd,BsmtExposure_No,BsmtExposure_Yes,BsmtFinType1_BLQ,BsmtFinType1_GLQ,BsmtFinType1_LwQ,BsmtFinType1_Unf,GarageFinish_Fin,GarageFinish_RFn,GarageFinish_Unf,KitchenQual_Fa,KitchenQual_Gd,KitchenQual_TA,SalePrice
433,926,678.0,3.0,0,926,25.330882352941178,470,1997.0,1604,10839,100.0,0.0,36,5,6,926,0.0,1997,1998,1,0,0,0,0,1,1,0,0,0,0,1,181000
1317,1352,0.0,2.0,0,1352,25.330882352941178,466,2006.0,1352,4230,47.0,0.0,241,5,7,1352,103.74193548387096,2006,2007,1,0,0,0,0,1,0,0,1,0,1,0,208900
184,936,316.0,3.0,0,504,25.330882352941178,576,1986.0,1252,7438,92.0,0.0,0,8,5,504,104.0,1908,1991,1,0,0,0,0,1,0,0,1,0,0,1,127000
554,1006,1040.0,3.0,866,132,25.330882352941178,0,2003.0,2046,10625,85.0,292.0,62,5,7,998,103.74193548387096,2003,2004,1,0,0,1,0,0,0,1,0,0,1,0,284000
1173,1636,971.0,3.0,152,977,25.330882352941178,0,1978.5061638868744,0,0,0.0,0.0,0,6,5,1598,103.74193548387096,1946,1994,1,0,0,0,1,0,0,0,1,1,0,0,200500
76,952,0.0,2.0,228,724,25.330882352941178,283,1956.0,952,8475,70.04995836802665,0.0,0,7,4,952,103.74193548387096,1956,1956,1,0,1,0,0,0,0,0,1,0,0,1,135750
906,1636,0.0,3.0,63,1560,25.330882352941178,0,2006.0,1636,13501,0.0,208.0,60,5,8,1623,103.74193548387096,2006,2006,1,0,0,1,0,0,0,1,0,0,1,0,255000
674,1136,0.0,3.0,892,244,25.330882352941178,384,1965.0,1136,9200,80.0,0.0,0,6,6,1136,103.74193548387096,1965,1965,1,0,0,0,1,0,0,0,1,0,0,1,140000
1398,1136,768.0,3.0,180,676,25.330882352941178,240,1950.0,1904,7200,60.0,0.0,0,4,5,1208,103.74193548387096,1950,1982,1,0,0,0,1,0,0,0,1,0,0,1,138000
374,847,1081.0,4.0,0,847,25.330882352941178,434,2003.0,1928,8200,65.0,0.0,48,5,7,847,103.74193548387096,2003,2004,1,0,0,0,0,1,1,0,0,0,1,0,219500
1032,1352,1168.0,0.0,1012,326,25.330882352941178,796,1993.0,0,14541,70.04995836802665,0.0,55,7,8,1338,103.74193548387096,1993,1993,1,0,0,1,0,0,0,1,0,0,1,0,310000
259,882,0.0,2.0,0,0,25.330882352941178,308,1956.0,882,12702,70.0,0.0,45,5,5,0,103.74193548387096,1956,1956,0,1,0,0,1,0,0,0,1,0,0,1,97000
51,816,0.0,3.0,0,816,25.330882352941178,528,1985.0,1176,6240,52.0,0.0,0,6,6,816,103.74193548387096,1934,1950,1,0,0,0,0,1,0,0,1,0,0,1,114500
244,1222,888.0,3.0,695,253,25.330882352941178,463,1994.0,2110,8880,70.04995836802665,0.0,130,5,7,948,103.74193548387096,1994,2002,1,0,0,1,0,0,0,1,0,0,1,0,205000
1101,950,0.0,2.8692138133725202,412,251,25.330882352941178,280,1981.0,950,9758,61.0,0.0,0,5,5,950,103.74193548387096,1971,1971,1,0,1,0,0,0,0,0,1,0,0,1,119500
581,0,0.0,3.0,0,2042,25.330882352941178,0,2009.0,2042,12704,98.0,306.0,90,5,8,0,103.74193548387096,2008,2009,1,0,0,0,0,1,0,1,0,1,0,0,253293
679,988,0.0,3.0,827,161,25.330882352941178,572,1963.0,988,9945,70.04995836802665,57.0,0,5,5,988,103.74193548387096,1961,1961,1,0,0,0,1,0,0,0,1,0,0,1,128500
1132,1178,1032.0,0.0,0,1008,25.330882352941178,205,1930.0,2210,9900,90.0,0.0,48,4,6,1008,103.74193548387096,1880,1950,0,1,0,0,0,1,0,0,1,1,0,0,117500
1220,912,0.0,2.0,312,0,25.330882352941178,288,1964.0,912,7800,66.0,0.0,0,5,5,912,103.74193548387096,1964,1964,1,0,0,0,1,0,0,0,1,0,0,1,115000
49,955,0.0,3.0,763,192,25.330882352941178,386,1966.0,955,7742,66.0,0.0,0,7,5,955,103.74193548387096,1966,1966,1,0,1,0,0,0,0,0,1,0,0,1,127000
591,1728,568.0,3.0,0,384,25.330882352941178,842,2008.0,2296,13478,97.0,420.0,274,5,10,1722,103.74193548387096,2008,2008,0,1,0,1,0,0,0,1,0,1,0,0,451950
1269,874,650.0,3.0,460,414,25.330882352941178,315,1958.0,1524,11344,78.0,180.0,0,5,5,874,103.74193548387096,1958,1958,1,0,1,0,0,0,0,0,1,0,0,1,144000
1249,988,0.0,3.0,534,246,25.330882352941178,276,1950.0,988,7200,60.0,0.0,80,7,5,876,103.74193548387096,1950,1950,1,0,1,0,0,0,0,0,1,0,0,1,119000
1138,1567,0.0,2.0,0,0,25.330882352941178,714,1977.0,1567,9819,70.04995836802665,0.0,32,5,6,1567,103.74193548387096,1977,1977,0,1,1,0,0,0,0,1,0,0,1,0,196000
490,616,688.0,3.0,0,264,25.330882352941178,336,1976.0,1304,2665,70.04995836802665,0.0,24,6,5,264,141.0,1976,1976,0,1,0,0,0,1,1,0,0,0,0,1,115000
1024,0,0.0,2.0,1165,0,25.330882352941178,665,1976.0,0,15498,70.04995836802665,0.0,72,6,8,1565,103.74193548387096,1976,1976,0,1,1,0,0,0,1,0,0,0,1,0,287000
811,848,0.0,1.0,662,186,25.330882352941178,420,2004.0,848,4438,70.04995836802665,169.0,0,5,6,848,103.74193548387096,2004,2004,0,1,0,1,0,0,1,0,0,0,1,0,144500
141,1734,0.0,3.0,0,434,25.330882352941178,660,2005.0,1734,11645,78.0,0.0,24,5,7,1734,103.74193548387096,2005,2005,0,1,0,1,0,0,0,0,1,0,1,0,260000
846,1006,769.0,3.0,513,227,25.330882352941178,425,1993.0,1775,9317,75.0,137.0,72,5,7,740,103.74193548387096,1993,1993,1,0,1,0,0,0,0,0,1,0,1,0,213000
925,1126,0.0,3.0,767,266,25.330882352941178,540,1977.0,1126,15611,70.04995836802665,0.0,0,6,5,1126,103.74193548387096,1977,1977,0,1,1,0,0,0,0,1,0,1,0,0,175000
772,1117,0.0,3.0,422,480,25.330882352941178,672,1976.0,1117,7819,94.0,0.0,0,5,6,1029,103.74193548387096,1976,1976,0,1,1,0,0,0,0,0,1,0,0,1,107000
532,827,0.0,2.0,0,0,25.330882352941178,392,1967.0,827,7200,60.0,0.0,0,7,5,0,103.74193548387096,1955,2007,0,1,0,0,1,0,0,0,1,0,0,1,107500
29,520,0.0,1.0,0,520,25.330882352941178,240,1920.0,520,6324,60.0,0.0,0,6,4,520,103.74193548387096,1927,1950,1,0,0,0,0,1,0,0,1,1,0,0,68500
1299,1246,0.0,3.0,340,0,25.330882352941178,305,1959.0,1246,7500,75.0,0.0,0,7,5,1246,103.74193548387096,1959,1994,1,0,0,0,1,0,0,1,0,0,1,0,154000
65,1143,1330.0,4.0,0,1143,25.330882352941178,0,2004.0,0,9591,76.0,344.0,151,5,8,1143,103.74193548387096,2004,2005,0,1,0,0,0,1,0,0,1,0,1,0,317000
765,1506,0.0,2.0,0,1498,25.330882352941178,592,2008.0,1506,14587,75.0,284.0,174,5,9,1498,103.74193548387096,2008,2008,1,0,0,0,0,1,0,0,1,1,0,0,264132
1347,1776,0.0,3.0,80,1652,25.330882352941178,712,2006.0,1776,15306,93.0,100.0,0,5,8,1732,103.74193548387096,2006,2007,0,1,0,1,0,0,1,0,0,0,1,0,283463
175,0,0.0,4.0,477,725,25.330882352941178,576,1950.0,2158,12615,84.0,0.0,29,7,6,1202,103.74193548387096,1950,2001,0,1,1,0,0,0,0,0,1,0,1,0,243000
394,735,299.0,2.0,0,735,25.330882352941178,240,1940.0,1034,10134,60.0,0.0,39,6,5,735,103.74193548387096,1940,1950,1,0,0,0,0,1,0,0,1,0,0,1,109000
619,1482,780.0,2.8692138133725202,871,611,25.330882352941178,749,2003.0,2262,12244,85.0,226.0,0,5,8,1482,103.74193548387096,2003,2003,0,1,0,1,0,0,1,0,0,0,1,0,305000
1131,974,0.0,3.0,212,762,25.330882352941178,0,1978.5061638868744,974,10712,63.0,0.0,28,5,5,974,103.74193548387096,1991,1992,0,1,1,0,0,0,1,0,0,0,0,1,93500
115,729,729.0,2.0,419,310,25.330882352941178,440,1999.0,1458,3230,34.0,1129.0,32,5,6,729,103.74193548387096,1999,1999,1,0,0,1,0,0,0,0,1,0,0,1,176000
894,1535,0.0,4.0,0,0,25.330882352941178,400,1979.0,1535,7018,64.0,0.0,0,5,5,0,103.74193548387096,1979,1979,0,1,0,0,1,0,0,0,1,0,0,1,118858
1221,1211,0.0,3.0,250,210,0.0,322,1968.0,1211,8250,55.0,0.0,63,5,5,952,0.0,1968,1968,1,0,1,0,0,0,0,0,1,0,0,1,134000
427,907,0.0,3.0,288,619,25.330882352941178,352,1964.0,907,8593,77.0,0.0,0,6,4,907,103.74193548387096,1957,1957,1,0,0,0,1,0,0,0,1,0,0,1,109008
736,1040,0.0,2.0,0,0,25.330882352941178,400,1949.0,1040,8544,60.0,0.0,0,4,3,0,103.74193548387096,1950,1950,0,1,0,0,0,1,0,0,1,0,0,1,93500
898,0,0.0,2.8692138133725202,0,142,25.330882352941178,820,2009.0,2364,12919,100.0,760.0,67,5,9,0,103.74193548387096,2009,2010,0,1,0,1,0,0,1,0,0,1,0,0,611657
682,1291,0.0,2.0,1003,288,0.0,431,1996.0,1291,2887,70.04995836802665,0.0,0,5,6,1291,307.0,1996,1997,0,1,0,1,0,0,0,0,1,0,1,0,173000
990,1407,985.0,3.0,1074,322,25.330882352941178,0,1997.0,2392,9452,82.0,423.0,70,5,8,1396,103.74193548387096,1997,1998,1,0,0,1,0,0,1,0,0,0,1,0,348000
718,1325,1093.0,3.0,1173,138,25.330882352941178,0,1993.0,2418,10542,96.0,651.0,154,5,7,1311,103.74193548387096,1993,1994,0,1,0,1,0,0,0,1,0,0,1,0,341000
44,1150,0.0,3.0,179,465,25.330882352941178,300,1959.0,1150,7945,70.0,0.0,0,6,5,1150,103.74193548387096,1959,1959,1,0,1,0,0,0,0,1,0,0,0,1,141000
59,780,0.0,2.0,632,148,25.330882352941178,352,1973.0,780,7200,60.0,0.0,0,7,5,780,196.0,1972,1972,0,1,1,0,0,0,0,0,1,0,0,1,124900
363,483,504.0,2.8692138133725202,162,321,25.330882352941178,264,1972.0,987,1680,21.0,510.0,0,8,6,483,103.74193548387096,1972,2007,1,0,1,0,0,0,0,0,1,0,1,0,118000
398,1077,0.0,2.0,0,961,25.330882352941178,338,1920.0,1077,8967,60.0,0.0,0,2,5,961,103.74193548387096,1920,1950,1,0,0,0,0,1,0,0,1,0,0,1,67000
422,988,0.0,2.0,0,988,25.330882352941178,520,1954.0,988,0,100.0,0.0,0,5,5,988,103.74193548387096,1954,1954,1,0,0,0,0,1,0,1,0,0,0,1,113000
494,886,0.0,2.0,0,190,25.330882352941178,273,1938.0,886,5784,50.0,0.0,20,8,5,190,103.74193548387096,1938,1996,1,0,0,0,0,1,0,0,1,0,0,1,91300
416,672,728.0,2.8692138133725202,209,463,25.330882352941178,440,1978.0,1400,7844,74.0,203.0,0,7,6,672,103.74193548387096,1978,1978,1,0,1,0,0,0,1,0,0,0,0,1,149500
584,989,584.0,3.0,0,884,25.330882352941178,240,1935.0,1573,6120,51.0,0.0,0,7,4,884,103.74193548387096,1935,1995,1,0,0,0,0,1,0,0,1,0,1,0,133000
270,1095,844.0,3.0,0,1095,25.330882352941178,0,2006.0,1939,10728,84.0,0.0,51,5,8,1095,103.74193548387096,2006,2006,0,1,0,0,0,1,0,1,0,0,1,0,266000
351,1453,0.0,2.8692138133725202,1082,371,25.330882352941178,445,1986.0,1453,5271,70.04995836802665,0.0,80,5,7,1453,103.74193548387096,1986,1986,0,1,0,1,0,0,0,1,0,0,1,0,190000
1078,848,0.0,2.8692138133725202,662,186,25.330882352941178,420,2004.0,848,4435,37.0,169.0,0,5,6,848,103.74193548387096,2004,2004,0,1,0,1,0,0,0,1,0,0,1,0,155900
1344,728,728.0,3.0,0,728,25.330882352941178,440,2006.0,1456,11103,85.0,0.0,0,5,7,728,103.74193548387096,2006,2006,1,0,0,0,0,1,1,0,0,0,1,0,155835
836,1559,0.0,2.8692138133725202,338,1221,25.330882352941178,812,1948.0,1559,8100,90.0,0.0,116,6,5,1559,103.74193548387096,1948,1973,1,0,0,0,1,0,0,0,1,0,0,1,153500
643,780,840.0,4.0,493,0,25.330882352941178,462,1969.0,1620,10793,80.0,263.0,0,5,5,780,103.74193548387096,1969,1969,1,0,0,0,1,0,1,0,0,0,0,1,152000
274,816,0.0,2.8692138133725202,546,270,25.330882352941178,264,1982.0,816,8314,76.0,0.0,0,7,5,816,103.74193548387096,1982,1982,0,1,1,0,0,0,0,0,1,0,0,1,124500
322,1553,1177.0,4.0,28,0,25.330882352941178,576,1987.0,0,10380,86.0,172.0,96,5,7,1502,103.74193548387096,1986,1987,0,1,0,0,1,0,0,0,1,0,1,0,301000
78,1768,0.0,4.0,0,1768,25.330882352941178,0,1978.5061638868744,1768,10778,72.0,0.0,0,5,4,0,103.74193548387096,1968,1968,1,0,0,0,0,1,1,0,0,0,0,1,136500
922,1316,0.0,3.0,28,1288,25.330882352941178,397,2005.0,1316,10237,65.0,0.0,0,5,6,1316,103.74193548387096,2005,2006,1,0,0,1,0,0,1,0,0,0,1,0,169990
275,952,596.0,2.8692138133725202,0,952,25.330882352941178,672,1978.0,1548,7264,55.0,0.0,0,7,7,952,103.74193548387096,1925,2007,1,0,0,0,0,1,0,0,1,1,0,0,205000
1265,713,739.0,3.0,450,241,25.330882352941178,506,1999.0,1452,3735,35.0,218.0,34,5,7,691,103.74193548387096,1999,1999,1,0,0,1,0,0,0,0,1,0,1,0,183900
220,1498,0.0,2.0,0,1498,25.330882352941178,675,2006.0,1498,8990,73.0,0.0,33,5,7,1498,351.0,2006,2006,0,1,0,0,0,1,0,0,1,0,1,0,204900
316,1153,348.5240174672489,4.0,692,153,25.330882352941178,484,1983.0,2353,13005,94.0,278.0,195,7,7,845,103.74193548387096,1980,1980,1,0,0,1,0,0,0,1,0,1,0,0,260000
1006,1657,0.0,3.0,1237,420,25.330882352941178,484,1970.0,1657,12155,70.04995836802665,0.0,0,3,6,1657,103.74193548387096,1970,1970,1,0,0,0,1,0,0,0,1,0,0,1,163500
1240,884,884.0,2.8692138133725202,550,334,25.330882352941178,543,2003.0,1768,8158,65.0,252.0,63,5,7,884,103.74193548387096,2003,2003,1,0,0,1,0,0,0,0,1,0,1,0,224900
70,0,0.0,3.0,0,343,25.330882352941178,516,1973.0,2223,13651,95.0,1115.0,0,6,7,0,300.0,1973,1973,0,1,1,0,0,0,1,0,0,0,0,1,244000
15,854,0.0,2.0,0,832,25.330882352941178,576,1991.0,854,6120,51.0,0.0,112,8,7,832,103.74193548387096,1929,2001,1,0,0,0,0,1,0,0,1,0,0,1,132000
1164,1432,0.0,2.0,680,289,25.330882352941178,588,1978.0,1432,16157,70.04995836802665,0.0,180,7,5,1360,103.74193548387096,1978,1978,0,1,1,0,0,0,0,0,1,0,1,0,194000
1320,1478,0.0,3.0,189,628,25.330882352941178,442,1957.0,1478,8400,70.0,0.0,0,3,6,1478,103.74193548387096,1957,1957,1,0,1,0,0,0,0,1,0,0,0,1,156500
754,1026,348.5240174672489,3.0,439,115,25.330882352941178,440,1969.0,1026,7930,61.0,0.0,48,8,6,1026,103.74193548387096,1969,2005,1,0,0,1,0,0,0,1,0,0,1,0,156000
720,1742,0.0,2.0,1148,594,25.330882352941178,564,1985.0,1742,6563,70.04995836802665,0.0,28,5,8,1742,103.74193548387096,1985,1985,0,1,0,1,0,0,0,1,0,0,1,0,275000
1047,990,0.0,3.0,686,304,25.330882352941178,672,1996.0,990,9245,57.0,0.0,0,5,5,990,103.74193548387096,1994,1995,1,0,0,1,0,0,0,0,1,0,0,1,145000
628,1040,1040.0,0.0,650,390,25.330882352941178,504,1969.0,2080,11606,70.0,192.0,0,5,5,1040,103.74193548387096,1969,1969,0,1,0,0,1,0,0,0,1,1,0,0,135000
636,800,0.0,1.0,0,264,0.0,0,1978.5061638868744,800,6120,51.0,0.0,0,3,2,264,103.74193548387096,1936,1950,1,0,0,0,0,1,1,0,0,1,0,0,60000
464,1040,0.0,3.0,616,424,25.330882352941178,0,1978.5061638868744,1040,8430,60.0,136.0,0,5,5,1040,103.74193548387096,1978,1978,1,0,0,0,1,0,1,0,0,0,0,1,124000
855,1040,0.0,3.0,659,381,25.330882352941178,260,1962.0,1040,6897,70.04995836802665,0.0,104,8,5,1040,103.74193548387096,1962,2010,1,0,1,0,0,0,0,0,1,0,0,1,127000
1397,939,574.0,4.0,0,939,25.330882352941178,180,1933.0,1513,6120,51.0,0.0,0,8,5,939,24.0,1920,2004,0,1,0,0,0,1,0,0,1,0,0,1,137500
382,939,858.0,3.0,0,939,0.0,639,2006.0,1797,9245,79.0,0.0,53,5,7,939,144.0,2006,2006,0,1,0,0,0,1,0,0,1,0,1,0,213500
1428,804,0.0,2.8692138133725202,510,278,25.330882352941178,240,1940.0,804,7200,60.0,294.0,0,7,5,788,103.74193548387096,1940,1992,1,0,1,0,0,0,0,0,1,0,1,0,119000
788,901,0.0,2.0,0,901,0.0,281,1954.0,901,6000,50.0,0.0,0,7,4,901,103.74193548387096,1954,2000,1,0,0,0,0,1,0,0,1,0,0,1,107900
1340,872,0.0,3.0,0,858,25.330882352941178,480,1974.0,872,8294,70.0,0.0,0,5,4,858,103.74193548387096,1971,1971,1,0,0,0,0,1,0,0,1,0,0,1,123000
1216,1318,584.0,4.0,0,0,25.330882352941178,539,1978.0,1902,8930,68.0,0.0,0,5,6,0,103.74193548387096,1978,1978,0,1,0,0,1,0,0,0,1,0,0,1,112000
332,1629,0.0,3.0,1124,1603,25.330882352941178,0,2003.0,1629,10655,85.0,296.0,0,5,8,0,103.74193548387096,2003,2004,1,0,0,1,0,0,0,0,1,0,1,0,284000
543,767,0.0,1.0,584,0,0.0,367,1998.0,767,4058,34.0,182.0,40,5,7,723,103.74193548387096,1998,1998,0,1,0,1,0,0,1,0,0,0,0,1,133000
203,848,0.0,1.0,662,186,0.0,420,2004.0,848,4438,70.04995836802665,205.0,0,5,6,848,103.74193548387096,2004,2004,0,1,0,1,0,0,0,1,0,0,1,0,149000
1134,916,684.0,3.0,0,916,25.330882352941178,460,1997.0,1600,8773,57.0,0.0,38,5,6,916,103.74193548387096,1997,1997,0,1,0,0,0,1,1,0,0,0,0,1,169000
1414,1053,795.0,4.0,0,833,25.330882352941178,370,1922.0,1848,13053,64.0,0.0,0,7,6,833,103.74193548387096,1923,2000,1,0,0,0,0,1,0,0,1,0,1,0,207000
429,1412,0.0,3.0,1005,387,25.330882352941178,576,1988.0,1412,11457,0.0,0.0,0,5,6,1392,103.74193548387096,1988,1988,0,1,0,1,0,0,0,0,1,0,1,0,175000
1272,935,0.0,3.0,560,0,25.330882352941178,288,1965.0,935,13526,70.04995836802665,114.0,0,6,5,935,103.74193548387096,1965,1965,1,0,1,0,0,0,0,0,1,0,0,1,137000
746,980,1276.0,4.0,300,652,25.330882352941178,554,2000.0,2256,8795,70.04995836802665,0.0,54,5,7,952,103.74193548387096,2000,2000,1,0,0,1,0,0,1,0,0,0,1,0,236000
589,779,0.0,2.0,0,742,25.330882352941178,308,1988.0,935,9100,50.0,0.0,0,6,5,742,103.74193548387096,1930,1960,1,0,0,0,0,1,0,0,1,0,0,1,79500
838,1099,0.0,3.0,0,1099,25.330882352941178,352,1999.0,1099,9525,75.0,0.0,0,6,5,1099,103.74193548387096,1995,2006,1,0,0,0,0,1,0,0,1,0,1,0,144000
1293,832,832.0,4.0,194,638,25.330882352941178,528,1976.0,1664,10140,78.0,0.0,28,5,7,832,103.74193548387096,1976,1976,1,0,0,1,0,0,0,1,0,0,0,1,162900
590,770,812.0,3.0,490,280,25.330882352941178,520,2004.0,1582,8320,64.0,0.0,45,5,7,770,0.0,2004,2004,1,0,0,1,0,0,0,1,0,0,1,0,185900
585,0,0.0,2.0,0,408,25.330882352941178,0,2005.0,2028,11443,88.0,208.0,66,5,8,0,103.74193548387096,2005,2006,0,1,0,1,0,0,0,1,0,0,1,0,369900
1201,866,913.0,2.8692138133725202,0,866,0.0,546,1998.0,1779,10400,80.0,0.0,36,5,7,866,103.74193548387096,1998,1998,0,1,0,0,0,1,0,1,0,0,1,0,197900
198,929,929.0,0.0,0,755,25.330882352941178,0,1978.5061638868744,2229,5520,92.0,0.0,198,6,6,755,103.74193548387096,1912,1950,1,0,0,0,0,1,1,0,0,0,0,1,104000
916,480,0.0,2.8692138133725202,50,430,25.330882352941178,308,1958.0,480,9000,50.0,0.0,0,3,2,480,103.74193548387096,1949,1950,0,1,1,0,0,0,0,0,1,0,0,1,35311
994,1718,348.5240174672489,3.0,1172,528,25.330882352941178,786,2008.0,1718,12456,96.0,230.0,48,5,10,1700,216.0,2006,2007,0,1,0,1,0,0,1,0,0,1,0,0,337500
1228,1702,0.0,1.0,0,162,25.330882352941178,0,2008.0,1702,8769,65.0,766.0,72,5,9,1702,103.74193548387096,2008,2008,1,0,0,1,0,0,1,0,0,1,0,0,367294
43,938,0.0,3.0,280,167,25.330882352941178,308,1977.0,938,9200,70.04995836802665,0.0,0,6,5,938,145.0,1975,1980,0,1,0,0,1,0,0,0,1,0,0,1,130250
1033,1654,0.0,3.0,986,668,25.330882352941178,0,2002.0,1654,8125,70.04995836802665,295.0,136,5,7,1654,103.74193548387096,2002,2002,1,0,0,1,0,0,0,0,1,0,1,0,230000
