1stFlrSF,2ndFlrSF,BedroomAbvGr,BsmtFinSF1,BsmtUnfSF,EnclosedPorch,GarageArea,GarageYrBlt,GrLivArea,LotArea,LotFrontage,MasVnrArea,OpenPorchSF,OverallCond,OverallQual,TotalBsmtSF,WoodDeckSF,YearBuilt,YearRemodAdd,SalePrice,BsmtExposure_No,BsmtExposure_Yes,BsmtFinType1_BLQ,BsmtFinType1_GLQ,BsmtFinType1_LwQ,BsmtFinType1_Unf,GarageFinish_Fin,GarageFinish_RFn,GarageFinish_Unf,KitchenQual_Fa,KitchenQual_Gd,KitchenQual_TA
854,0.0,2.0,0,832,25.330882352941178,576,1991.0,854,6120,51.0,0.0,112,8,7,832,103.74193548387096,1929,2001,132000,1,0,0,0,0,1,0,0,1,0,0,1
1004,0.0,2.0,578,426,25.330882352941178,480,1970.0,1004,11241,70.04995836802665,180.0,0,7,6,1004,103.74193548387096,1970,1970,149000,1,0,1,0,0,0,1,0,0,0,0,1
1296,0.0,2.0,0,0,25.330882352941178,516,1967.0,1296,10791,72.0,0.0,0,5,4,0,103.74193548387096,1967,1967,90000,0,1,0,0,1,0,0,0,1,0,0,1
1114,348.5240174672489,2.8692138133725202,646,468,25.330882352941178,576,2004.0,1114,13695,66.0,0.0,102,5,5,1114,103.74193548387096,2004,2004,159000,1,0,0,1,0,0,0,0,1,0,1,0
1339,0.0,3.0,504,525,25.330882352941178,294,1958.0,1339,7560,70.0,0.0,0,6,5,1029,103.74193548387096,1958,1965,139000,1,0,0,0,1,0,0,0,1,0,0,1
1158,1218.0,4.0,0,1158,25.330882352941178,0,2005.0,2376,14215,101.0,380.0,154,5,8,1158,240.0,2005,2006,325300,0,1,0,0,0,1,0,1,0,0,1,0
1108,0.0,3.0,0,637,25.330882352941178,280,1930.0,1108,7449,57.0,0.0,0,7,7,637,103.74193548387096,1930,1950,139400,1,0,0,0,0,1,0,0,1,0,1,0
1795,0.0,3.0,0,1777,25.330882352941178,534,2002.0,1795,9742,75.0,281.0,159,5,8,0,103.74193548387096,2002,2002,230000,1,0,0,0,0,1,0,1,0,0,1,0
1060,0.0,3.0,840,200,25.330882352941178,572,1976.0,1060,4224,44.0,0.0,110,7,5,1040,100.0,1976,1976,129900,1,0,0,1,0,0,0,0,1,0,0,1
1060,0.0,3.0,188,204,25.330882352941178,270,1968.0,1060,8246,70.04995836802665,0.0,90,8,5,1060,103.74193548387096,1968,2001,154000,0,1,0,0,1,0,0,0,1,0,1,0
1600,0.0,3.0,0,1566,25.330882352941178,0,2007.0,1600,14230,0.0,640.0,56,5,8,1566,103.74193548387096,2007,2007,256300,1,0,0,0,0,1,0,1,0,0,1,0
900,0.0,3.0,234,180,25.330882352941178,576,2005.0,900,7200,60.0,0.0,32,7,5,900,103.74193548387096,1951,2000,134800,0,1,0,0,0,1,0,0,1,0,1,0
1704,348.5240174672489,3.0,1218,486,25.330882352941178,772,2008.0,1704,11478,98.0,200.0,50,5,8,1704,103.74193548387096,2007,2008,306000,1,0,0,1,0,0,0,0,1,0,1,0
1600,0.0,2.0,0,207,0.0,319,1957.0,1600,16321,47.0,0.0,258,6,5,1484,103.74193548387096,1957,1997,207500,0,1,1,0,0,0,0,1,0,0,0,1
520,0.0,1.0,0,520,25.330882352941178,240,1920.0,520,6324,60.0,0.0,0,6,4,520,103.74193548387096,1927,1950,68500,1,0,0,0,0,1,0,0,1,1,0,0
649,668.0,3.0,0,649,25.330882352941178,250,1920.0,1317,8500,50.0,0.0,54,4,4,649,103.74193548387096,1920,1950,40000,1,0,0,0,0,1,0,0,1,0,0,1
1228,0.0,3.0,0,1228,25.330882352941178,271,1966.0,1228,8544,70.04995836802665,0.0,65,6,5,1228,103.74193548387096,1966,2006,149350,1,0,0,0,0,1,0,0,1,0,1,0
1234,0.0,3.0,0,1234,0.0,484,2007.0,1234,11049,85.0,0.0,30,5,8,1234,103.74193548387096,2007,2007,179900,0,1,0,0,0,1,0,1,0,0,1,0
1700,0.0,4.0,1018,380,25.330882352941178,447,1959.0,1700,10552,70.0,0.0,38,5,5,1398,103.74193548387096,1959,1959,165500,1,0,0,0,1,0,0,1,0,0,1,0
1561,0.0,2.0,1153,408,25.330882352941178,556,2005.0,1561,7313,60.0,246.0,47,5,9,1561,203.0,2005,2005,277500,1,0,0,1,0,0,1,0,0,1,0,0
1132,1320.0,4.0,0,1117,25.330882352941178,691,2004.0,2452,13418,0.0,132.0,32,5,8,1117,103.74193548387096,2004,2005,309000,0,1,0,0,0,1,0,0,1,0,1,0
1097,0.0,3.0,0,1097,25.330882352941178,672,1995.0,1097,10859,0.0,0.0,64,5,5,1097,103.74193548387096,1994,1995,145000,1,0,0,0,0,1,0,0,1,0,0,1
1297,0.0,2.8692138133725202,1213,84,0.0,498,1954.0,1297,8532,74.0,650.0,0,6,5,1297,103.74193548387096,1954,1990,153000,1,0,0,0,1,0,1,0,0,0,0,1
1057,0.0,3.0,731,326,25.330882352941178,246,1953.0,1057,7922,68.0,0.0,52,7,5,1057,103.74193548387096,1953,2007,109000,1,0,0,1,0,0,0,0,1,0,1,0
1152,0.0,2.8692138133725202,0,0,25.330882352941178,0,1978.5061638868744,1152,6040,65.0,0.0,0,5,4,0,103.74193548387096,1955,1955,82000,0,1,0,0,1,0,1,0,0,1,0,0
1324,0.0,3.0,643,445,25.330882352941178,440,1965.0,1324,8658,84.0,101.0,138,5,6,1088,0.0,1965,1965,160000,1,0,0,0,1,0,0,0,1,0,0,1
1328,348.5240174672489,2.0,967,383,25.330882352941178,308,1959.0,1328,16905,0.0,0.0,104,6,5,1350,103.74193548387096,1959,1959,170000,0,1,1,0,0,0,0,0,1,0,0,1
884,0.0,2.0,747,0,25.330882352941178,504,1983.0,884,9180,70.04995836802665,0.0,0,7,5,840,240.0,1983,1983,144000,0,1,1,0,0,0,0,1,0,0,1,0
938,0.0,3.0,280,167,25.330882352941178,308,1977.0,938,9200,70.04995836802665,0.0,0,6,5,938,145.0,1975,1980,130250,0,1,0,0,1,0,0,0,1,0,0,1
1150,0.0,3.0,179,465,25.330882352941178,300,1959.0,1150,7945,70.0,0.0,0,6,5,1150,103.74193548387096,1959,1959,141000,1,0,1,0,0,0,0,1,0,0,0,1
1752,0.0,2.0,456,1296,25.330882352941178,576,2005.0,1752,7658,61.0,412.0,82,5,9,1752,103.74193548387096,2005,2005,319900,1,0,0,1,0,0,0,1,0,1,0,0
1518,631.0,1.0,0,83,25.330882352941178,670,2003.0,2149,12822,48.0,0.0,43,5,7,1434,103.74193548387096,2003,2003,239686,1,0,0,1,0,0,0,1,0,0,1,0
1656,0.0,3.0,24,1632,25.330882352941178,826,2006.0,1656,11096,84.0,0.0,146,5,8,1656,103.74193548387096,2006,2006,249700,0,1,0,1,0,0,0,0,1,0,1,0
736,716.0,2.0,0,736,25.330882352941178,0,1978.5061638868744,1452,4456,33.0,0.0,0,5,4,736,103.74193548387096,1920,2008,113000,1,0,0,0,0,1,1,0,0,0,0,1
955,0.0,3.0,763,192,25.330882352941178,386,1966.0,955,7742,66.0,0.0,0,7,5,955,103.74193548387096,1966,1966,127000,1,0,1,0,0,0,0,0,1,0,0,1
794,676.0,2.8692138133725202,182,612,25.330882352941178,388,1997.0,1470,13869,70.04995836802665,0.0,75,6,6,794,103.74193548387096,1997,1997,177000,0,1,0,1,0,0,1,0,0,0,0,1
816,0.0,3.0,0,816,25.330882352941178,528,1985.0,1176,6240,52.0,0.0,0,6,6,816,103.74193548387096,1934,1950,114500,1,0,0,0,0,1,0,0,1,0,0,1
816,0.0,2.0,104,0,25.330882352941178,516,1963.0,816,8472,0.0,0.0,0,5,5,816,103.74193548387096,1963,1963,110000,0,1,0,0,1,0,0,0,1,0,0,1
0,0.0,0.0,0,32,25.330882352941178,0,1981.0,1842,0,68.0,0.0,72,5,9,0,103.74193548387096,1981,1987,385000,0,1,0,1,0,0,1,0,0,0,1,0
1360,0.0,2.8692138133725202,384,0,25.330882352941178,572,1962.0,1360,7134,60.0,0.0,50,5,5,384,103.74193548387096,1955,1955,130000,1,0,1,0,0,0,0,0,1,0,0,1
1425,0.0,3.0,490,935,25.330882352941178,576,1964.0,1425,10175,100.0,272.0,0,5,6,1425,103.74193548387096,1964,1964,180500,1,0,0,0,0,1,0,1,0,0,0,1
983,756.0,3.0,649,321,25.330882352941178,480,1999.0,1739,2645,24.0,456.0,0,5,8,970,103.74193548387096,1999,2000,172500,1,0,0,1,0,0,1,0,0,0,1,0
860,348.5240174672489,3.0,0,860,25.330882352941178,565,2004.0,1720,11645,89.0,0.0,70,5,7,860,103.74193548387096,2004,2004,196500,1,0,0,0,0,1,0,1,0,0,1,0
1426,1519.0,3.0,0,1410,25.330882352941178,641,2006.0,0,13682,66.0,1031.0,0,5,10,1410,103.74193548387096,2006,2006,438780,0,1,0,0,0,1,1,0,0,0,1,0
780,0.0,2.0,632,148,25.330882352941178,352,1973.0,780,7200,60.0,0.0,0,7,5,780,196.0,1972,1972,124900,0,1,1,0,0,0,0,0,1,0,0,1
1158,0.0,3.0,941,217,25.330882352941178,576,2006.0,1158,13072,63.0,0.0,50,5,6,1158,103.74193548387096,2004,2004,158000,1,0,1,0,0,0,0,0,1,0,1,0
581,530.0,3.0,0,530,25.330882352941178,288,1935.0,1111,7200,60.0,0.0,0,7,5,530,103.74193548387096,1920,1996,101000,1,0,0,0,0,1,0,0,1,1,0,0
1370,0.0,2.0,24,1346,25.330882352941178,484,2006.0,1370,6442,44.0,178.0,49,5,8,1370,103.74193548387096,2006,2006,202500,0,1,0,1,0,0,0,1,0,0,1,0
902,808.0,3.0,0,576,25.330882352941178,480,1990.0,1710,10300,50.0,0.0,11,6,7,576,103.74193548387096,1921,1950,140000,1,0,0,0,0,1,0,0,1,0,0,1
1057,977.0,2.8692138133725202,739,318,0.0,645,1998.0,2034,9375,70.04995836802665,573.0,36,5,7,1057,103.74193548387096,1997,1998,219500,1,0,0,1,0,0,0,1,0,0,1,0
1143,1330.0,4.0,0,1143,25.330882352941178,0,2004.0,0,9591,76.0,344.0,151,5,8,1143,103.74193548387096,2004,2005,317000,0,1,0,0,0,1,0,0,1,0,1,0
0,0.0,3.0,912,1035,25.330882352941178,576,1970.0,2207,0,70.04995836802665,287.0,0,5,7,0,103.74193548387096,1970,1989,180000,0,1,0,1,0,0,0,1,0,0,0,1
1479,0.0,3.0,1013,440,25.330882352941178,558,2003.0,1479,10665,72.0,167.0,29,5,7,1453,103.74193548387096,2003,2003,226000,0,1,0,1,0,0,0,1,0,0,1,0
747,0.0,2.0,0,747,25.330882352941178,220,1945.0,747,4608,47.0,0.0,0,6,4,747,103.74193548387096,1945,1950,80000,1,0,0,0,0,1,0,0,1,0,0,1
1304,983.0,2.8692138133725202,603,701,25.330882352941178,667,1953.0,2287,15593,81.0,0.0,21,4,7,1304,103.74193548387096,1953,1953,225000,1,0,1,0,0,0,1,0,0,0,0,1
0,0.0,3.0,0,343,25.330882352941178,516,1973.0,2223,13651,95.0,1115.0,0,6,7,0,300.0,1973,1973,244000,0,1,1,0,0,0,1,0,0,0,0,1
845,0.0,2.0,565,280,0.0,360,1987.0,845,7599,69.0,0.0,0,6,4,845,103.74193548387096,1982,2006,129500,1,0,1,0,0,0,0,0,1,0,0,1
885,833.0,3.0,0,832,25.330882352941178,427,1998.0,1718,10141,74.0,40.0,94,5,7,832,103.74193548387096,1998,1998,185000,1,0,0,0,0,1,1,0,0,0,0,1
1086,0.0,3.0,320,404,0.0,490,1989.0,1086,10200,85.0,104.0,0,7,5,1086,103.74193548387096,1954,2003,144900,1,0,1,0,0,0,0,0,1,0,0,1
840,765.0,3.0,0,840,25.330882352941178,379,1915.0,1605,5790,60.0,0.0,0,6,3,840,0.0,1915,1950,107400,1,0,0,0,0,1,0,0,1,0,0,1
526,462.0,2.0,462,0,25.330882352941178,297,1973.0,988,1596,21.0,0.0,101,5,4,462,103.74193548387096,1973,1973,91000,0,1,0,1,0,0,0,0,1,0,0,1
952,0.0,2.0,228,724,25.330882352941178,283,1956.0,952,8475,70.04995836802665,0.0,0,7,4,952,103.74193548387096,1956,1956,135750,1,0,1,0,0,0,0,0,1,0,0,1
1072,213.0,2.0,336,295,25.330882352941178,240,1948.0,1285,8635,50.0,0.0,0,5,5,672,103.74193548387096,1948,2001,127000,1,0,1,0,0,0,0,0,1,0,0,1
1768,0.0,4.0,0,1768,25.330882352941178,0,1978.5061638868744,1768,10778,72.0,0.0,0,5,4,0,103.74193548387096,1968,1968,136500,1,0,0,0,0,1,1,0,0,0,0,1
682,548.0,2.0,0,440,25.330882352941178,440,1966.0,1230,10440,60.0,0.0,0,6,5,440,103.74193548387096,1910,1981,110000,1,0,0,0,0,1,0,0,1,0,0,1
1182,960.0,2.8692138133725202,448,448,25.330882352941178,509,1968.0,2142,13000,100.0,576.0,72,6,6,896,103.74193548387096,1968,1968,193500,1,0,0,0,1,0,1,0,0,0,1,0
1337,0.0,2.0,1201,36,25.330882352941178,405,1998.0,1337,4500,32.0,443.0,199,5,6,1237,103.74193548387096,1998,1998,153500,1,0,0,1,0,0,1,0,0,0,0,1
1563,0.0,3.0,33,1530,25.330882352941178,758,2007.0,1563,10206,78.0,468.0,99,5,8,1563,103.74193548387096,2007,2007,245000,1,0,0,1,0,0,0,1,0,0,1,0
1065,0.0,3.0,0,1065,25.330882352941178,461,1974.0,1065,8892,80.0,66.0,0,5,5,1065,103.74193548387096,1960,1960,126500,1,0,0,0,0,1,0,0,1,0,0,1
804,670.0,3.0,0,384,25.330882352941178,400,1995.0,1474,8530,70.04995836802665,22.0,72,5,7,384,120.0,1995,1996,168500,1,0,0,0,0,1,1,0,0,0,0,1
1301,1116.0,4.0,0,1288,25.330882352941178,462,1991.0,2417,16059,0.0,284.0,82,5,8,1288,127.0,1991,1992,260000,1,0,0,0,0,1,0,0,1,0,1,0
684,876.0,3.0,0,684,25.330882352941178,400,2005.0,1560,11911,0.0,0.0,38,5,6,684,103.74193548387096,2005,2005,174000,0,1,0,0,0,1,1,0,0,0,1,0
612,612.0,2.8692138133725202,0,612,25.330882352941178,528,2009.0,1224,3951,40.0,76.0,234,5,6,612,103.74193548387096,2009,2009,164500,0,1,0,0,0,1,0,1,0,0,1,0
1013,0.0,2.0,0,1013,25.330882352941178,0,1978.5061638868744,1526,8470,0.0,0.0,0,2,3,1013,103.74193548387096,1915,1982,85000,1,0,0,0,0,1,1,0,0,1,0,0
990,0.0,3.0,588,402,25.330882352941178,0,1978.5061638868744,990,8070,60.0,0.0,0,5,4,990,103.74193548387096,1994,1995,123600,1,0,0,0,0,1,1,0,0,0,0,1
1040,0.0,2.0,0,0,25.330882352941178,420,1950.0,1040,7200,60.0,0.0,29,5,4,0,103.74193548387096,1950,1950,109900,0,1,0,0,0,1,0,0,1,0,0,1
1235,0.0,2.0,600,635,0.0,480,1961.0,1235,8500,85.0,203.0,0,3,5,1235,103.74193548387096,1961,1961,98600,1,0,0,0,1,0,0,0,1,0,0,1
964,0.0,2.0,713,163,25.330882352941178,432,1921.0,964,13360,80.0,0.0,0,7,5,876,103.74193548387096,1921,2006,163500,1,0,1,0,0,0,0,0,1,0,0,1
1260,1031.0,4.0,1046,168,25.330882352941178,506,1900.0,2291,7200,60.0,0.0,0,6,6,1214,103.74193548387096,1910,1998,133900,0,1,0,0,1,0,0,0,1,0,0,1
905,881.0,3.0,648,176,25.330882352941178,684,1997.0,1786,9337,69.0,0.0,162,5,6,824,103.74193548387096,1997,1997,204750,1,0,0,1,0,0,0,1,0,0,1,0
680,790.0,3.0,310,370,25.330882352941178,420,1993.0,1470,9765,70.04995836802665,68.0,63,8,6,680,103.74193548387096,1993,1993,185000,1,0,0,0,0,1,1,0,0,0,0,1
1588,348.5240174672489,2.8692138133725202,1162,426,25.330882352941178,472,1999.0,1588,10264,78.0,183.0,29,5,7,1588,103.74193548387096,1999,1999,214000,0,1,1,0,0,0,0,1,0,0,1,0
960,0.0,3.0,520,440,25.330882352941178,432,1965.0,960,10921,73.0,48.0,0,5,4,960,103.74193548387096,1965,1965,94750,1,0,0,0,1,0,1,0,0,0,0,1
835,0.0,2.0,108,350,25.330882352941178,366,1920.0,835,10625,85.0,0.0,0,5,5,458,0.0,1920,1950,83000,1,0,1,0,0,0,0,0,1,0,0,1
1225,0.0,3.0,569,381,25.330882352941178,0,1978.5061638868744,1225,9320,77.0,0.0,0,5,4,950,103.74193548387096,1959,1959,128950,1,0,1,0,0,0,1,0,0,0,0,1
1610,0.0,3.0,1200,410,25.330882352941178,480,1977.0,1610,10603,70.04995836802665,28.0,68,7,6,1610,103.74193548387096,1977,2001,205000,0,1,1,0,0,0,0,1,0,0,1,0
977,755.0,3.0,0,741,25.330882352941178,476,1985.0,1732,9206,77.0,336.0,46,5,6,741,103.74193548387096,1985,1985,178000,1,0,0,0,0,1,1,0,0,0,1,0
1535,0.0,4.0,0,0,25.330882352941178,410,1979.0,1535,7018,64.0,0.0,0,5,5,0,103.74193548387096,1979,1979,118964,0,1,0,0,1,0,0,0,1,0,0,1
1226,0.0,2.8692138133725202,0,1226,25.330882352941178,740,2009.0,1226,10402,94.0,0.0,36,5,7,1226,103.74193548387096,2009,2009,198900,1,0,0,0,0,1,0,1,0,0,1,0
1226,592.0,4.0,224,816,25.330882352941178,240,1951.0,1818,7758,70.04995836802665,600.0,0,4,7,1040,103.74193548387096,1931,1950,169500,1,0,0,0,1,0,0,0,1,0,0,1
1053,348.5240174672489,3.0,0,1053,25.330882352941178,648,2003.0,1992,9375,75.0,768.0,45,5,8,1053,103.74193548387096,2003,2004,250000,1,0,0,0,0,1,0,1,0,0,1,0
1047,0.0,2.0,0,641,25.330882352941178,273,1954.0,1047,10800,60.0,0.0,0,7,4,641,103.74193548387096,1885,1995,100000,1,0,0,0,0,1,0,0,1,0,0,1
789,0.0,2.0,104,516,25.330882352941178,250,1948.0,789,6000,50.0,0.0,0,5,5,789,103.74193548387096,1948,1950,115000,1,0,1,0,0,0,0,0,1,0,0,1
997,348.5240174672489,3.0,0,793,25.330882352941178,0,1978.5061638868744,1517,8500,85.0,0.0,0,7,5,793,103.74193548387096,1919,2005,115000,1,0,0,0,0,1,1,0,0,1,0,0
0,0.0,3.0,705,1139,25.330882352941178,546,1977.0,1844,11751,0.0,480.0,122,6,6,0,103.74193548387096,1977,1977,190000,1,0,1,0,0,0,0,1,0,0,0,1
1216,639.0,4.0,444,550,25.330882352941178,325,1954.0,1855,9525,75.0,0.0,0,4,6,994,103.74193548387096,1954,1972,136900,1,0,0,0,1,0,0,0,1,0,0,1
774,656.0,3.0,250,134,25.330882352941178,400,2000.0,1430,7750,70.04995836802665,0.0,0,5,7,384,103.74193548387096,2000,2000,180000,1,0,0,1,0,0,1,0,0,0,0,1
1282,1414.0,4.0,984,280,25.330882352941178,792,2007.0,0,9965,77.0,220.0,184,5,7,1264,103.74193548387096,2007,2007,383970,0,1,0,1,0,0,0,0,1,1,0,0
0,0.0,3.0,35,905,25.330882352941178,450,1953.0,2259,0,70.04995836802665,184.0,120,5,6,0,103.74193548387096,1953,1953,217000,0,1,0,0,0,1,0,0,1,0,1,0
1436,884.0,3.0,774,104,25.330882352941178,180,1945.0,2320,7259,61.0,0.0,0,8,6,1028,103.74193548387096,1945,2002,259500,1,0,1,0,0,0,0,0,1,0,1,0
729,729.0,2.0,419,310,25.330882352941178,440,1999.0,1458,3230,34.0,1129.0,32,5,6,729,103.74193548387096,1999,1999,176000,1,0,0,1,0,0,0,0,1,0,0,1
1092,0.0,3.0,170,252,25.330882352941178,288,1962.0,1092,11616,70.04995836802665,116.0,20,5,5,1092,103.74193548387096,1962,1962,139000,1,0,0,0,1,0,0,0,1,0,0,1
1125,0.0,2.0,0,1125,25.330882352941178,430,2007.0,1125,8536,74.0,0.0,64,5,5,1125,103.74193548387096,2006,2007,155000,1,0,0,0,0,1,0,0,1,0,0,1
1699,1523.0,0.0,0,203,25.330882352941178,594,1990.0,0,12376,90.0,0.0,0,5,7,1673,103.74193548387096,1990,1990,320000,0,1,0,1,0,0,0,0,1,0,1,0
728,728.0,3.0,0,728,25.330882352941178,390,2005.0,1456,8461,65.0,0.0,24,5,6,728,103.74193548387096,2005,2006,163990,1,0,0,0,0,1,1,0,0,0,1,0
988,0.0,1.0,938,0,25.330882352941178,540,1969.0,988,0,70.04995836802665,0.0,130,5,6,938,0.0,1969,1969,180000,0,1,1,0,0,0,0,0,1,0,0,1
772,351.0,3.0,0,732,25.330882352941178,264,1979.0,1123,6060,50.0,0.0,0,5,4,732,103.74193548387096,1939,1950,100000,1,0,0,0,0,1,0,0,1,0,0,1
1080,0.0,3.0,570,510,25.330882352941178,288,1958.0,1080,9464,75.0,135.0,0,7,6,1080,103.74193548387096,1958,1958,136000,1,0,1,0,0,0,0,0,1,0,0,1
1199,0.0,2.0,300,899,25.330882352941178,530,1993.0,1199,7892,55.0,0.0,63,5,6,1199,103.74193548387096,1993,1993,153900,1,0,0,1,0,0,0,1,0,0,1,0
1586,0.0,3.0,0,1362,25.330882352941178,435,1979.0,1586,17043,48.0,0.0,0,5,6,1362,192.0,1979,1998,181000,1,0,0,0,0,1,0,0,1,0,0,1
520,0.0,2.0,490,30,25.330882352941178,0,1978.5061638868744,754,6780,60.0,0.0,0,8,6,520,103.74193548387096,1935,1982,84500,0,1,0,1,0,0,0,0,1,0,0,1
958,348.5240174672489,2.0,120,958,25.330882352941178,440,1977.0,958,4928,70.04995836802665,0.0,205,5,6,1078,0.0,1976,1976,128000,1,0,1,0,0,0,0,1,0,0,0,1
840,0.0,3.0,116,556,25.330882352941178,0,1978.5061638868744,840,4388,55.0,0.0,0,7,5,672,103.74193548387096,1930,1950,87000,1,0,0,0,1,0,1,0,0,0,0,1
660,688.0,3.0,512,148,25.330882352941178,453,1966.0,1348,7590,69.0,266.0,108,5,6,660,103.74193548387096,1966,1966,155000,1,0,1,0,0,0,0,1,0,0,0,1
1053,348.5240174672489,3.0,567,413,25.330882352941178,750,1998.0,1053,8973,69.0,85.0,80,7,5,1008,103.74193548387096,1958,1991,150000,1,0,0,0,1,0,0,1,0,1,0,0
1216,941.0,4.0,445,479,25.330882352941178,487,1966.0,2157,14200,88.0,309.0,66,6,7,924,103.74193548387096,1966,1966,226000,1,0,0,0,1,0,0,0,1,0,1,0
1022,1032.0,3.0,695,297,25.330882352941178,390,2000.0,2054,12224,70.04995836802665,40.0,48,5,6,992,103.74193548387096,2000,2000,244000,1,0,0,1,0,0,0,1,0,0,1,0
1327,0.0,2.8692138133725202,405,658,25.330882352941178,624,1974.0,1327,7388,75.0,0.0,0,6,5,1063,103.74193548387096,1959,2002,150750,1,0,0,0,1,0,0,0,1,0,1,0
1296,0.0,2.0,1005,262,25.330882352941178,471,2001.0,1296,6853,70.04995836802665,136.0,25,5,8,1267,103.74193548387096,2001,2002,220000,1,0,0,1,0,0,1,0,0,0,1,0
1721,0.0,3.0,570,891,25.330882352941178,440,1968.0,1721,10335,78.0,0.0,96,6,5,1461,103.74193548387096,1968,1993,180000,1,0,0,0,1,0,0,1,0,0,0,1
1682,0.0,3.0,0,1304,25.330882352941178,530,1970.0,1682,10400,80.0,288.0,0,6,7,1304,103.74193548387096,1970,1970,174000,1,0,0,0,0,1,0,0,1,0,0,1
1214,348.5240174672489,2.8692138133725202,695,519,0.0,318,1967.0,1214,10355,70.04995836802665,196.0,111,5,5,1214,103.74193548387096,1967,1967,143000,1,0,1,0,0,0,0,1,0,0,0,1
0,0.0,0.0,0,1907,25.330882352941178,766,1989.0,1959,11070,82.0,70.0,0,5,7,0,103.74193548387096,1988,1989,171000,1,0,0,0,0,1,0,0,1,0,0,1
1004,848.0,3.0,668,336,25.330882352941178,660,1999.0,1852,9066,73.0,320.0,106,5,8,1004,103.74193548387096,1999,2000,230000,0,1,0,1,0,0,1,0,0,0,1,0
928,836.0,3.0,821,107,25.330882352941178,470,1997.0,1764,15426,65.0,0.0,99,5,6,928,103.74193548387096,1997,1997,231500,1,0,0,1,0,0,0,1,0,0,1,0
864,0.0,3.0,432,432,25.330882352941178,0,1978.5061638868744,864,10500,70.0,0.0,0,5,4,864,103.74193548387096,1971,1971,115000,1,0,1,0,0,0,1,0,0,0,0,1
1734,0.0,3.0,0,434,25.330882352941178,660,2005.0,1734,11645,78.0,0.0,24,5,7,1734,103.74193548387096,2005,2005,260000,0,1,0,1,0,0,0,0,1,0,1,0
